"Geolocation","Commodity Description","2022 Apr"
"PHILIPPINES","0 - ALL ITEMS",112.2000000000000
"PHILIPPINES","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",113.0000000000000
"PHILIPPINES","01.1 - FOOD",113.7000000000000
"PHILIPPINES","01.1.1 - Cereals and cereal products (ND)",112.3000000000000
"PHILIPPINES","01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",112.2761692045600
"PHILIPPINES","01.1.1.2 - Flour of cereals (ND)",110.9792983302880
"PHILIPPINES","01.1.1.3 - Bread and bakery products (ND)",112.0874316080510
"PHILIPPINES","01.1.1.4 - Breakfast cereals (ND)",110.8968328066870
"PHILIPPINES","01.1.1.5 - Macaroni, noodles, couscous and similar pasta products (ND)",111.3789247162700
"PHILIPPINES","01.1.1.9 - Other cereal and grain mill products (ND)",115.2729370186250
"PHILIPPINES","01.1.2 - Meat and other parts of slaughtered land animals (ND)",115.3000000000000
"PHILIPPINES","01.1.2.3 - Meat, dried, salted, in brine or smoked (ND)",116.2464102510070
"PHILIPPINES","01.1.2.4 - Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)",134.2506620664040
"PHILIPPINES","01.1.2.5 - Meat, offal, blood and other parts of slaughtered animals' preparations (ND)",113.5656213127430
"PHILIPPINES","01.1.3 - Fish and other seafood (ND)",123.3000000000000
"PHILIPPINES","01.1.3.2 - Fish, dried, salted, in brine or smoked (ND)",133.5438721942670
"PHILIPPINES","01.1.3.3 - Fish preparations (ND)",112.2034334736270
"PHILIPPINES","01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",124.9895977941470
"PHILIPPINES","01.1.3.6 - Other seafood preparations (ND)",120.4307573174160
"PHILIPPINES","01.1.4 - Milk, other dairy products and eggs (ND)",109.4000000000000
"PHILIPPINES","01.1.4.1 - Raw and whole milk (ND)",114.0282930300960
"PHILIPPINES","01.1.4.3 - Other milk and cream (ND)",104.6151542412960
"PHILIPPINES","01.1.4.4 - Non-animal milk (ND)",103.6758801526300
"PHILIPPINES","01.1.4.5 - Cheese (ND)",108.1633865524210
"PHILIPPINES","01.1.4.6 - Yoghurt and similar products (ND)",107.2112538822440
"PHILIPPINES","01.1.4.7 - Milk-based dessert and beverages (ND)",108.0508115649130
"PHILIPPINES","01.1.4.8 - Eggs (ND)",115.5090150832250
"PHILIPPINES","01.1.5 - Oils and fats (ND)",121.4000000000000
"PHILIPPINES","01.1.5.1 - Vegetable oils (ND)",125.5112719786200
"PHILIPPINES","01.1.5.2 - Butter and other fats and oils derived from milk (ND)",112.3802558007420
"PHILIPPINES","01.1.5.3 - Margarine and similar preparations (ND)",107.4378756204970
"PHILIPPINES","01.1.5.9 - Other animal oils and fats (ND)",104.8501294848590
"PHILIPPINES","01.1.6 - Fruits and nuts (ND)",118.8000000000000
"PHILIPPINES","01.1.6.2 - Citrus fruits, fresh (ND)",127.3347364956590
"PHILIPPINES","01.1.6.3 - Stone fruits and pome fruits, fresh (ND)",116.4260875221510
"PHILIPPINES","01.1.6.5 - Other fruits, fresh (ND)",146.5973500392630
"PHILIPPINES","01.1.6.7 - Fruit, dried and dehydrated (ND)",121.4526186401540
"PHILIPPINES","01.1.6.8 - Nuts, in shell or shelled (ND)",112.5652986928270
"PHILIPPINES","01.1.6.9 - Fruit and nuts ground and other preparations (ND)",114.0176214720380
"PHILIPPINES","01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",113.8000000000000
"PHILIPPINES","01.1.7.1 - Leafy or stem vegetables, fresh or chilled (ND)",116.3170284657010
"PHILIPPINES","01.1.7.3 - Green leguminous vegetables, fresh or chilled (ND)",113.9876148200570
"PHILIPPINES","01.1.7.5 - Tubers, plantains and cooking bananas (ND)",107.0253059984620
"PHILIPPINES","01.1.7.9 - Vegetables, tubers, plantains, cooking bananas and pulses ground and other preparations (ND)",114.3106433336740
"PHILIPPINES","01.1.8 - Sugar, confectionery and desserts (ND)",110.6000000000000
"PHILIPPINES","01.1.8.1 - Cane and beet sugar (ND)",111.8559077929410
"PHILIPPINES","01.1.8.3 - Jams, fruit jellies, marmalades, fruit purée and pastes, honey (ND)",110.2338422167590
"PHILIPPINES","01.1.8.4 - Nut purée, nut butter and nut pastes (ND)",114.6535223839460
"PHILIPPINES","01.1.8.5 - Chocolate, cocoa, and cocoa-based food products (ND)",111.2726246131840
"PHILIPPINES","01.1.8.6 - Ice, ice cream and sorbet (ND)",107.4788361600900
"PHILIPPINES","01.1.8.9 - Other sugar confectionery and desserts n.e.c. (ND)",107.4063878729350
"PHILIPPINES","01.1.9 - Ready-made food and other food products n.e.c. (ND)",113.2000000000000
"PHILIPPINES","01.1.9.2 - Baby food (ND)",105.3374345570850
"PHILIPPINES","01.1.9.3 - Salt, condiments and sauces (ND)",116.1462961033410
"PHILIPPINES","01.1.9.4 - Spices, culinary herbs and seeds (ND)",119.3407397016700
"PHILIPPINES","01.1.9.9 - Other food products n.e.c. (ND)",114.4357106735660
"PHILIPPINES","01.2 - NON-ALCOHOLIC BEVERAGES",109.2000000000000
"PHILIPPINES","01.2.1 - Fruit and vegetable juices (ND)",120.2000000000000
"PHILIPPINES","01.2.1.0 - Fruit and vegetable juices (ND)",120.2616857906770
"PHILIPPINES","01.2.2 - Coffee and coffee substitutes (ND)",105.9000000000000
"PHILIPPINES","01.2.2.0 - Coffee and coffee substitutes (ND)",105.9271509683210
"PHILIPPINES","01.2.3 - Tea, maté and other plant products for infusion (ND)",109.0000000000000
"PHILIPPINES","01.2.3.0 - Tea, maté and other plant products for infusion (ND)",109.0699520276740
"PHILIPPINES","01.2.4 - Cocoa drinks (ND)",113.9000000000000
"PHILIPPINES","01.2.4.0 - Cocoa drinks (ND)",113.8869085805890
"PHILIPPINES","01.2.5 - Water (ND)",105.8000000000000
"PHILIPPINES","01.2.5.0 - Water (ND)",105.8890137399060
"PHILIPPINES","01.2.6 - Soft drinks (ND)",110.6000000000000
"PHILIPPINES","01.2.6.0 - Soft drinks (ND)",110.6746397929680
"PHILIPPINES","01.2.9 - Other non-alcoholic beverages (ND)",117.9000000000000
"PHILIPPINES","01.2.9.0 - Other non-alcoholic beverages (ND)",117.8560911352070
"PHILIPPINES","02 - ALCOHOLIC BEVERAGES AND TOBACCO",149.2000000000000
"PHILIPPINES","02.1 - ALCOHOLIC BEVERAGES",123.9000000000000
"PHILIPPINES","02.1.1 - Spirits and liquors (ND)",125.2000000000000
"PHILIPPINES","02.1.1.0 - Spirits and liquors (ND)",125.1962692767920
"PHILIPPINES","02.1.2 - Wine (ND)",116.2000000000000
"PHILIPPINES","02.1.2.1 - Wine from grapes (ND)",112.4913019165410
"PHILIPPINES","02.1.2.2 - Wine from other sources (ND)",117.1225383630120
"PHILIPPINES","02.1.3 - Beer (ND)",123.3000000000000
"PHILIPPINES","02.1.3.0 - Beer (ND)",123.2837558872340
"PHILIPPINES","02.3 - TOBACCO",166.7000000000000
"PHILIPPINES","02.3.0 - Tobacco (ND)",166.7000000000000
"PHILIPPINES","02.3.0.1 - Cigarettes (ND)",167.1269405369180
"PHILIPPINES","02.3.0.2 - Cigars (ND)",154.1279036119400
"PHILIPPINES","02.3.0.9 - Other tobacco products (ND)",133.2135509489540
"PHILIPPINES","02.4 - OTHER VEGETABLE-BASED TOBACCO PRODUCTS",151.1000000000000
"PHILIPPINES","02.4.0 - Other vegetable-based tobacco products (ND)",151.1000000000000
"PHILIPPINES","02.4.0.0 - Other vegetable-based tobacco products (ND)",151.0873424124050
"PHILIPPINES","02.900 - NON-FOOD",110.4000000000000
"PHILIPPINES","03 - CLOTHING AND FOOTWEAR",108.6000000000000
"PHILIPPINES","03.1 - CLOTHING",108.3000000000000
"PHILIPPINES","03.1.1 - Clothing materials (SD)",106.6000000000000
"PHILIPPINES","03.1.1.0 - Clothing materials (SD)",106.5203466037660
"PHILIPPINES","03.1.2 - Garments (SD)",108.1000000000000
"PHILIPPINES","03.1.2.1 - Garments for men or boys (SD)",107.8974008776560
"PHILIPPINES","03.1.2.2 - Garments for women or girls (SD)",108.1104765457140
"PHILIPPINES","03.1.2.3 - Garments for infants (0 to under 2 years) (SD)",109.6711588057840
"PHILIPPINES","03.1.2.4 - School uniforms (SD)",112.0990033952970
"PHILIPPINES","03.1.3 - Other articles of clothing and clothing accessories (SD)",109.1000000000000
"PHILIPPINES","03.1.3.1 - Other articles of clothing (SD)",108.6614468121650
"PHILIPPINES","03.1.3.2 - Clothing accessories (SD)",112.3868796830820
"PHILIPPINES","03.1.4 - Cleaning, repair, tailoring and hire of clothing (S)",116.7000000000000
"PHILIPPINES","03.1.4.1 - Cleaning of clothing (S)",115.7952237524140
"PHILIPPINES","03.1.4.2 - Repair, tailoring and hire of clothing (S)",119.1439780756550
"PHILIPPINES","03.2 - FOOTWEAR",109.2000000000000
"PHILIPPINES","03.2.1 - Shoes and other footwear (SD)",109.2000000000000
"PHILIPPINES","03.2.1.1 - Footwear for men (SD)",109.3390110370920
"PHILIPPINES","03.2.1.2 - Footwear for women (SD)",108.4340232282580
"PHILIPPINES","03.2.1.3 - Footwear for infants and children (SD)",109.7301507323860
"PHILIPPINES","03.2.2 - Cleaning, repair, and hire of footwear (S)",113.0000000000000
"PHILIPPINES","03.2.2.0 - Cleaning, repair, and hire of footwear (S)",113.0671014364710
"PHILIPPINES","04 - HOUSING, WATER, ELECTRICITY, GAS, AND OTHER FUELS",109.3000000000000
"PHILIPPINES","04.1 - ACTUAL RENTALS FOR HOUSING",108.7000000000000
"PHILIPPINES","04.1.1 - Actual rentals paid by tenants for main residence (S)",108.7000000000000
"PHILIPPINES","04.1.1.0 - Actual rentals paid by tenants for main residence (S)",108.6949929267350
"PHILIPPINES","04.3 - MAINTENANCE, REPAIR AND SECURITY OF THE DWELLING",111.6000000000000
"PHILIPPINES","04.3.1 - Security equipment and materials for the maintenance and repair of the dwelling (ND)",109.7000000000000
"PHILIPPINES","04.3.1.1 - Materials for the maintenance and repair of the dwelling (ND)",109.7512678935090
"PHILIPPINES","04.3.2 - Services for the maintenance, repair and security of the dwelling (S)",118.1000000000000
"PHILIPPINES","04.3.2.0 - Services for the maintenance, repair and security of the dwelling (S)",118.0384284594970
"PHILIPPINES","04.4 - WATER SUPPLY AND MISCELLANEOUS SERVICES RELATING TO THE DWELLING",104.7000000000000
"PHILIPPINES","04.4.1 - Water supply (ND)",104.7000000000000
"PHILIPPINES","04.4.1.1 - Water supply through network systems (ND)",104.7263235512960
"PHILIPPINES","04.5 - ELECTRICITY, GAS AND OTHER FUELS",122.3000000000000
"PHILIPPINES","04.5.3 - Liquid fuels (ND)",150.7000000000000
"PHILIPPINES","04.5.3.0 - Liquid fuels (ND)",150.7045127720040
"PHILIPPINES","04.5.4 - Solid fuels (ND)",120.9000000000000
