"Geolocation","Commodity Description","2022 Jan"
"PHILIPPINES","0 - ALL ITEMS",3.0
"PHILIPPINES","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",1.7
"PHILIPPINES","01.1 - FOOD",1.6
"PHILIPPINES","01.1.1 - Cereals and cereal products (ND)",2.5
"PHILIPPINES","01.1.1.1 - Cereals (ND)",2.4
"PHILIPPINES","01.1.1.12 - Rice",1.0
"PHILIPPINES","01.1.1.16 - Corn",27.7
"PHILIPPINES","01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",2.7
"PHILIPPINES","01.1.1.2 - Flour of cereals (ND)",1.8
"PHILIPPINES","01.1.1.3 - Bread and bakery products (ND)",2.6
"PHILIPPINES","01.1.1.4 - Breakfast cereals (ND)",1.8
"PHILIPPINES","01.1.1.5 - Macaroni, noodles, couscous and similar pasta products (ND)",3.2
"PHILIPPINES","01.1.1.9 - Other cereal and grain mill products (ND)",3.0
"PHILIPPINES","01.1.2 - Meat and other parts of slaughtered land animals (ND)",4.3
"PHILIPPINES","01.1.2.2 - Meat, fresh, chilled or frozen (ND)",4.7
"PHILIPPINES","01.1.2.3 - Meat, dried, salted, in brine or smoked (ND)",6.3
"PHILIPPINES","01.1.2.4 - Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)",3.3
"PHILIPPINES","01.1.2.5 - Meat, offal, blood and other parts of slaughtered animals' preparations (ND)",3.2
"PHILIPPINES","01.1.3 - Fish and other seafood (ND)",6.2
"PHILIPPINES","01.1.3.1 - Fish, live, fresh, chilled or frozen (ND)",6.4
"PHILIPPINES","01.1.3.2 - Fish, dried, salted, in brine or smoked (ND)",8.8
"PHILIPPINES","01.1.3.3 - Fish preparations (ND)",2.1
"PHILIPPINES","01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",5.7
"PHILIPPINES","01.1.3.6 - Other seafood preparations (ND)",3.7
"PHILIPPINES","01.1.4 - Milk, other dairy products and eggs (ND)",0.9
"PHILIPPINES","01.1.4.1 - Raw and whole milk (ND)",2.3
"PHILIPPINES","01.1.4.3 - Other milk and cream (ND)",0.7
"PHILIPPINES","01.1.4.4 - Non-animal milk (ND)",1.0
"PHILIPPINES","01.1.4.5 - Cheese (ND)",0.8
"PHILIPPINES","01.1.4.6 - Yoghurt and similar products (ND)",2.4
"PHILIPPINES","01.1.4.7 - Milk-based dessert and beverages (ND)",1.5
"PHILIPPINES","01.1.4.8 - Eggs (ND)",1.0
"PHILIPPINES","01.1.5 - Oils and fats (ND)",8.5
"PHILIPPINES","01.1.5.1 - Vegetable oils (ND)",10.2
"PHILIPPINES","01.1.5.2 - Butter and other fats and oils derived from milk (ND)",2.5
"PHILIPPINES","01.1.5.3 - Margarine and similar preparations (ND)",3.4
"PHILIPPINES","01.1.5.9 - Other animal oils and fats (ND)",11.2
"PHILIPPINES","01.1.6 - Fruits and nuts (ND)",-5.7
"PHILIPPINES","01.1.6.1 - Dates, figs and tropical fruits, fresh (ND)",-6.3
"PHILIPPINES","01.1.6.2 - Citrus fruits, fresh (ND)",3.9
"PHILIPPINES","01.1.6.3 - Stone fruits and pome fruits, fresh (ND)",-10.7
"PHILIPPINES","01.1.6.5 - Other fruits, fresh (ND)",13.0
"PHILIPPINES","01.1.6.7 - Fruit, dried and dehydrated (ND)",3.2
"PHILIPPINES","01.1.6.8 - Nuts, in shell or shelled (ND)",2.8
"PHILIPPINES","01.1.6.9 - Fruit and nuts ground and other preparations (ND)",2.9
"PHILIPPINES","01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",-10.8
"PHILIPPINES","01.1.7.1 - Leafy or stem vegetables, fresh or chilled (ND)",-13.8
"PHILIPPINES","01.1.7.2 - Fruit-bearing vegetables, fresh or chilled (ND)",-25.3
"PHILIPPINES","01.1.7.3 - Green leguminous vegetables, fresh or chilled (ND)",-1.3
"PHILIPPINES","01.1.7.4 - Other vegetables, fresh or chilled (ND)",18.4
"PHILIPPINES","01.1.7.5 - Tubers, plantains and cooking bananas (ND)",-11.6
"PHILIPPINES","01.1.7.9 - Vegetables, tubers, plantains, cooking bananas and pulses ground and other preparations (ND)",3.9
"PHILIPPINES","01.1.8 - Sugar, confectionery and desserts (ND)",2.8
"PHILIPPINES","01.1.8.1 - Cane and beet sugar (ND)",3.9
"PHILIPPINES","01.1.8.3 - Jams, fruit jellies, marmalades, fruit purée and pastes, honey (ND)",2.5
"PHILIPPINES","01.1.8.4 - Nut purée, nut butter and nut pastes (ND)",3.4
"PHILIPPINES","01.1.8.5 - Chocolate, cocoa, and cocoa-based food products (ND)",1.6
"PHILIPPINES","01.1.8.6 - Ice, ice cream and sorbet (ND)",1.4
"PHILIPPINES","01.1.8.9 - Other sugar confectionery and desserts n.e.c. (ND)",2.3
"PHILIPPINES","01.1.9 - Ready-made food and other food products n.e.c. (ND)",1.9
"PHILIPPINES","01.1.9.2 - Baby food (ND)",1.8
"PHILIPPINES","01.1.9.3 - Salt, condiments and sauces (ND)",3.6
"PHILIPPINES","01.1.9.4 - Spices, culinary herbs and seeds (ND)",-1.5
"PHILIPPINES","01.1.9.9 - Other food products n.e.c. (ND)",1.9
"PHILIPPINES","01.2 - NON-ALCOHOLIC BEVERAGES",1.3
"PHILIPPINES","01.2.1 - Fruit and vegetable juices (ND)",2.6
"PHILIPPINES","01.2.1.0 - Fruit and vegetable juices (ND)",2.6
"PHILIPPINES","01.2.2 - Coffee and coffee substitutes (ND)",0.9
